,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
0,Ten-minute pizza,40,,plain flour,tbsp olive oil,tsp water,tsp sea salt,tbsp tomato purée,shiitake mushroom,slice prosciutto,gorgonzola cheese,free-range egg,,,,,,dough,blend,wedge,oil,fry,salt,dry,serve,slice
1,15 minute pasta,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/15_minute_pasta_33407_16x9.jpg,penne pasta,pack parma ham,brown chestnut mushroom,full-fat crème fraîche,parmesan,tbsp chopped parsley,salt pepper,green salad,crunchy bread,,,,,,boil,bread,fry,salt,drain,serve,toss,season,heat
2,3D biscuits ,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/3d_biscuits_29555_16x9.jpg,unsalted soft butter,caster sugar,tsp vanilla essence,free-range egg,plain flour,free-range egg white,ice sugar,food colour,ready-to-roll ice,,,,,,mix,bake,refrigerate,snip,cool,boil,beat,roll,combine
3,2-hour Christmas dinner,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/2_hour_christmas_dinner_79341_16x9.jpg,thawed frozen ),smoke streaky bacon,sunflower oil,large knob butter,medium leek,slice white bread,contain brazil nut,bunch fresh thyme,large unwaxed lemon,pork sausagemeat,ground black pepper,potato,melt goose fat,chipolata sausage,mix,bread,fry,heat,top,strain,layer,boil,melt
4,Mustard and thyme crusted rib-eye of beef ,120,,rib-eye beef,red wine,red wine vinegar,tbsp sugar,tsp ground allspice,bay leaf,chopped fresh thyme,tbsp black peppercorn,english dijon mustard,oz crème frâiche,ready-made cream horseradish,tsp english mustard,chopped fresh chive,ground black pepper,mix,marinate,roll,chill,warm,salt,sprinkle,serve,combine
5,Aberdeen butteries (Rowies),150,,strong plain flour,easy-blend dry yeast,light brown sugar,sea salt flake,oz warm water,vegetable oil,butter,lard,ready-made jam,,,,,,mix,process,bake,rise,cool,roll,thin,combine,turn
6,Abundant steamed sea bass and seasonal clams with sizzling oil,30,,purple yellow swede,dry goji berry,tbsp mirin,tbsp rice vinegar,crack sea salt,caster sugar,( ),ground white pepper,piece fresh ginger,light chinese lager,palourde clam,tbsp peanut oil,spring onion,coriander cress,mix,blanch,can,heat,top,skin,toast,boil,shell
7,A classic sponge cake (with passion fruit filling),60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aclassicspongecakewi_9406_16x9.jpg,self-raising flour,tsp baking powder,egg room temperature,soft butter,golden caster sugar,tsp vanilla extract,sift ice sugar,passion fruit,mascarpone,golden caster sugar,tsp vanilla extract,oz fromage frais,,,mix,blend,can,cool,top,slice,combine,turn,scoop
8,Lemon curd ice cream,120,,double cream,) lemon curd,½ lemon,,,,,,,,,,,,juice,serve,whisk,cream,freeze,zest,,,
9,"A creamy, crunchy fruit sundae",30,,oz ),large meringue,good handful blackberry,unsalted pistachio nut,vanilla ice cream,ice sugar,,,,,,,,,beat,fold,top,ice,chunk,cut,whisk,cream,scoop
