,recipeA,recipeB,shared_ingred
0,Ten-minute pizza,15 minute pasta,1
1,Ten-minute pizza,3D biscuits ,3
2,Ten-minute pizza,2-hour Christmas dinner,1
3,Ten-minute pizza,Mustard and thyme crusted rib-eye of beef ,1
4,Ten-minute pizza,Aberdeen butteries (Rowies),4
5,Ten-minute pizza,Abundant steamed sea bass and seasonal clams with sizzling oil,1
6,Ten-minute pizza,A classic sponge cake (with passion fruit filling),2
7,Ten-minute pizza,Lemon curd ice cream,1
8,Ten-minute pizza,"A creamy, crunchy fruit sundae",1
9,Ten-minute pizza,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",5
10,Ten-minute pizza,Ackee and saltfish,3
11,Ten-minute pizza,Aged sirloin steak with Thai salad and toasted hazelnuts,2
12,Ten-minute pizza,Aglio e peperoncino,1
13,Ten-minute pizza,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),3
14,Ten-minute pizza,Aïoli,2
15,Ten-minute pizza,Adhraki gosht (lamb masala in a tomato and ginger sauce),3
16,Ten-minute pizza,Ajwain parathas ,4
17,Ten-minute pizza,Albanian baked lamb with rice (Tavë kosi),4
18,Ten-minute pizza,Saturday Kitchen Sling ,1
19,Ten-minute pizza,Aji de gallina,1
20,Ten-minute pizza,Ajitsuke tamago (Japanese pickled eggs),2
21,Ten-minute pizza,Albondigas (spicy Mexican meatballs with red rice),5
22,Ten-minute pizza,All-in-one rib roast with horseradish glaze,1
23,Ten-minute pizza,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",3
24,Ten-minute pizza,All-day breakfast frittata,2
25,Ten-minute pizza,All-purpose easy butter cake,3
26,Ten-minute pizza,Ale fruit loaf,2
27,Ten-minute pizza,All-in-one white sauce,1
28,Ten-minute pizza,Almond and cauliflower korma curry,2
29,Ten-minute pizza,"Almond, cranberry and orange biscotti",4
30,Ten-minute pizza,Almond-crusted salmon with chilli spinach,2
31,Ten-minute pizza,Almond and lemon polenta cake with orange mascarpone,2
32,Ten-minute pizza,Almond lentil stew,2
33,Ten-minute pizza,Almond dipping sauce with pitta bread fingers,1
34,Ten-minute pizza,Almond pancakes with ice cream and toffee sauce,2
35,Ten-minute pizza,Almond puddings with Christmas pudding ice cream,3
36,Ten-minute pizza,Almond-rolled goats' cheese,4
37,Ten-minute pizza,Almond rice pudding and cherry compôte,1
38,Ten-minute pizza,Almond praline,0
39,Ten-minute pizza,Almondy mince pies,3
40,Ten-minute pizza,Almond tart,2
41,Ten-minute pizza,Almond semifreddo,3
42,Ten-minute pizza,Alpine pizza,4
43,Ten-minute pizza,Almond soup,2
44,Ten-minute pizza,Alternative fish and chips,5
45,Ten-minute pizza,Aloo panchporan (Stir-fried potatoes tempered with five spices),2
